name,lat,lon
13-124,-13.85169,144.09059
21-550,-21.96184,152.31235
22-084,-22.00282,152.45695
Bougainville,-15.49141,147.1003
Chicken,-18.40233,147.42382
Chilcott,-16.93466,149.9936
Chinaman,-22.01369,152.65425
Corbett,-13.92266,144.24052
Davie,-13.96772,144.44553
Davies,-18.4962,147.37608
Fitzroy,-23.62972,152.1361
Frederick,-20.9839,154.3731
Holmes,-16.47816,147.9206
Hoskyns,-23.80801,152.2836
Lady Musgrave,-23.90737,152.38654
Marion,-19.15688,152.2945
Moore,-15.91558,149.2073
Saumarez,-21.86058,153.6551
Willis,-16.22649,149.9766
Wreck,-22.18179,155.2888
