"Reef","pop.MMM","pop.Kd_490","pop.SCV","pop.DHW","pop.SST","pop.MEM1","pop.MEM2","pop.MEM3"
"13-124",28.66,0.0726518772556349,0.2062,0.5378,26.5989,0.364531844877045,2.30246963912832,-0.0943003581419571
"21-550",27.56,0.0644221934221043,0.1108,0.3079,25.0939,-1.1860525696864,-0.335785916856759,0.117619407684327
"22-084",27.52,0.0634584658418059,0.1333,0.2973,25.0414,-1.18739686666499,-0.33635759814452,0.120274981175235
"Bougainville",28.88,0.0365140550484286,0.1544,0.8592,26.9624,1.25549559891572,-0.0348102516183179,-0.0524232423328591
"Chicken",28.46,0.0429965053628459,0.1914,0.4904,26.3975,1.20016545153725,-0.75202424436386,-0.00666873442057443
"Chilcott",28.54,0.0370428175765523,0.1021,0.6311,26.6561,1.17904473505659,-0.908686004512397,0.0105044854189583
"Chinaman",27.42,0.0663229057295197,0.1462,0.3013,25.0144,-1.18853594441404,-0.336715173405016,0.127310929221911
"Corbett",28.58,0.0689522244852091,0.2282,0.5766,26.5883,0.36457731048247,2.30285052034866,-0.0943248172463857
"Davie",28.58,0.055502566543529,0.1992,0.586,26.6471,0.536641525293124,2.29304750325011,-0.112708039256589
"Davies",28.45,0.0442117637765663,0.1352,0.4949,26.3518,1.03188861843238,-0.542611331829482,-0.00410242136135182
"Fitzroy",27.08,0.0789278854930623,0.0838,0.3215,24.3953,-0.875610620007269,-0.253413894954426,-1.8373617241226
"Frederick",27.69,0.0474248480277329,0.1412,0.7239,25.5752,-0.807320752387366,-0.119211637483771,2.17182600073288
"Holmes",28.7557142857143,0.0376760392601042,0.1708,0.7033,26.736,1.36570134114583,-0.924791890127319,-0.00908484155490297
"Hoskyns",27.06,0.078384406544546,0.0431,0.3193,24.4016,-0.873544331179968,-0.252268623626048,-1.83845538172371
"Lady Musgrave",27.07,0.0759331091833667,0.0613,0.3249,24.4151,-0.872144936035979,-0.251491455165458,-1.83847712739516
"Marion",28.0963636363636,0.048693551490615,0.1118,0.7085,26.0095,-0.684213785124592,-0.0810458028350808,1.56312769271075
"Moore",28.7926315789474,0.0358615079256293,0.1801,0.7649,26.9385,1.21667555732136,-0.774332705169078,-0.00713929071181369
"Saumarez",27.83,0.0552815926035579,0.1055,0.5435,25.6536,-1.18421312208624,-0.333202516974686,0.177947516768024
"Willis",28.69,0.0371843650236051,0.1441,0.7519,26.8486,1.04621442971246,-0.570267440549634,-0.00423300620209419
"Wreck",27.2492307692308,0.0361568087161918,0.104,0.71,26.017,-0.701903485187367,-0.0913511751112397,1.61066797075791
